Date,Open,High,Low,Close,Volume
2024-12-04,112.3300,115.7900,112.3000,113.4300,7679305
2024-12-03,112.7500,113.7900,111.0400,111.8600,8263372
2024-12-02,115.2200,115.9930,111.1200,112.9800,9839620
2024-11-29,113.1600,116.3500,112.5300,115.6000,6178258
2024-11-27,111.4400,112.5900,110.9436,112.5400,4665567
2024-11-26,109.7000,113.9000,109.0800,112.0800,8028961
2024-11-25,109.3000,112.4500,108.6300,111.0000,10139258
2024-11-22,107.0100,107.5000,105.3300,106.9600,7059852
2024-11-21,103.7400,108.2100,103.2600,106.4800,10624691
2024-11-20,104.8300,105.0700,102.5800,103.9400,7632630
2024-11-19,104.3100,105.3800,103.2700,104.5900,9038094
2024-11-18,108.9000,109.1100,105.7600,105.8800,6689797
2024-11-15,107.1000,108.7891,105.2500,108.4900,10764167
2024-11-14,115.2900,115.2900,109.0000,109.0800,13147949
2024-11-13,107.5000,115.6200,106.1800,115.0900,20641953
2024-11-12,107.5200,114.5100,106.0000,108.9200,63946173
2024-11-11,88.9500,92.1600,88.7100,89.9900,20014078
2024-11-08,85.6000,87.2600,85.2500,87.1200,7439028
2024-11-07,82.1600,85.8400,82.1000,85.5500,6623650
2024-11-06,81.5500,82.1200,80.1300,81.9200,5169845
2024-11-05,78.5500,80.0400,78.2300,79.5700,4652276
2024-11-04,78.7100,79.0600,77.7000,78.4400,3584492
2024-11-01,79.0500,79.8900,77.9400,78.9900,6189927
2024-10-31,79.7500,80.3900,77.1201,78.2100,4636963
2024-10-30,80.0300,80.5150,79.2800,80.0100,3712258
2024-10-29,79.3950,80.8000,79.2100,80.3900,5131268
2024-10-28,79.6150,80.1800,79.3150,79.8700,3327688
2024-10-25,80.1000,80.9700,78.7800,79.0500,3834492
2024-10-24,80.0000,80.3900,78.8400,79.8200,3981439
2024-10-23,81.2300,81.9100,79.1200,79.6600,4832327
2024-10-22,81.5000,82.5450,81.1600,81.6100,4624769
2024-10-21,82.0300,83.2550,81.2900,82.6600,5437933
2024-10-18,82.2500,82.9490,82.0300,82.6800,3862207
2024-10-17,82.8900,83.1800,81.1400,81.6300,3519763
2024-10-16,81.9500,82.2700,80.3400,81.8500,4929334
2024-10-15,83.6000,83.7700,80.4600,81.9300,6484748
2024-10-14,83.8400,84.3700,82.6600,83.6800,3759774
2024-10-11,81.9700,84.2000,81.8900,83.2400,3775014
2024-10-10,82.3600,83.6550,82.2956,82.7100,3937217
2024-10-09,82.6300,84.1187,82.6300,83.4100,4741398
2024-10-08,81.0000,83.1399,80.6000,82.5800,5723830
2024-10-07,81.8500,82.1000,80.3000,80.8600,5495824
2024-10-04,79.8100,82.6400,79.5000,82.4300,7746218
2024-10-03,78.5000,79.3200,77.6900,78.1400,4625390
2024-10-02,78.5100,79.3050,77.9300,79.1000,3110518
2024-10-01,80.0000,80.2400,77.7700,78.4500,5656186
